time_s,theta_rad,omega_rad_s,u,pwm_command,next_theta_rad,next_omega_rad_s,reward
1.800000000000000044e+00,3.250539535656571388e-03,9.101680188905447721e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250543493777513504e-03,9.141107875620946288e-05,-1.066819050912584823e-04
1.810000000000000053e+00,3.250543493777513504e-03,9.141107875620946288e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250545123592019081e-03,9.054639667738229036e-05,-1.066821657690407259e-04
1.820000000000000062e+00,3.250545123592019081e-03,9.054639667738229036e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250544192269444466e-03,9.095068526221439242e-05,-1.066819104772088079e-04
1.830000000000000071e+00,3.250544192269444466e-03,9.095068526221439242e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250541165471076965e-03,9.008084452943876386e-05,-1.066818695637080576e-04
1.840000000000000080e+00,3.250541165471076965e-03,9.008084452943876386e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250535577535629272e-03,9.046464401762932539e-05,-1.066813023756067757e-04
1.850000000000000089e+00,3.250535577535629272e-03,9.046464401762932539e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250533947721123695e-03,9.083660552278161049e-05,-1.066812237542888914e-04
1.860000000000000098e+00,3.250533947721123695e-03,9.083660552278161049e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250535810366272926e-03,9.120898903347551823e-05,-1.066813877029752783e-04
1.870000000000000107e+00,3.250535810366272926e-03,9.120898903347551823e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541631132364273e-03,9.159406181424856186e-05,-1.066817995961429500e-04
1.880000000000000115e+00,3.250541631132364273e-03,9.159406181424856186e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250544890761375427e-03,9.072619286598637700e-05,-1.066821779685514824e-04
1.890000000000000124e+00,3.250544890761375427e-03,9.072619286598637700e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546054914593697e-03,9.113322448683902621e-05,-1.066820409894778636e-04
