#{"t_start": 1789749554.3418007, "env_id": "None"}
r,l,t
-211.056796,95,465.484102
-197.270431,66,466.271468
-177.726071,51,466.916892
-193.585356,63,467.794344
-179.824148,64,468.557799
-185.290764,55,469.209672
-179.305147,62,469.924138
-299.17896,286,473.389212
-199.10763,72,474.225984
-202.712055,80,475.185306
-186.985571,500,480.755258
-205.488805,73,481.458861
-211.490778,170,483.252259
-210.574574,94,484.338588
-191.399791,67,485.060723
-191.268769,53,485.635597
-198.811912,107,486.798682
-206.029548,111,488.018616
-186.073169,64,488.724585
-193.762034,500,494.113186
-192.905079,71,494.795158
-205.524172,80,495.662219
-206.186384,78,496.516659
-195.370582,60,497.141212
-198.972116,60,497.744151
-153.534181,500,503.011122
-221.245032,500,508.223653
-194.250775,89,509.186878
-181.447183,500,514.506974
-220.954567,112,515.702945
-157.02463,500,521.218538
-207.599356,115,522.466138
-191.657663,74,523.334728
-206.282327,101,524.438769
-196.557284,75,525.174673
-209.629375,102,526.354548
-146.231826,500,532.004557
-202.93401,98,533.079593
-213.30639,110,534.373913
-212.403778,119,535.666412
-195.782021,87,536.706392
-200.648349,101,537.901446
-173.666717,500,543.755845
-200.951511,500,549.325992
-182.672261,59,550.084237
-185.626059,500,555.538962
-225.564847,153,557.254464
-207.581814,78,558.129787
-189.100259,67,558.842222
-201.585626,96,559.971372
-183.393221,500,565.5788
-128.793444,500,571.149433
-265.30875,270,574.123687
-194.18478,64,574.863813
-298.832562,298,578.229222
-237.198256,194,580.443638
-220.760562,176,582.335836
-236.332812,218,584.78357
-322.824412,471,590.169001
-226.68413,175,592.214327
-333.113905,463,597.495951
-226.151723,170,599.504699
-207.677947,120,600.931092
-226.291755,244,604.319957
-145.520961,500,611.765477
-162.307322,500,618.514395
-266.297827,318,622.844777
-273.715468,272,626.456225
-155.568829,500,633.260539
-151.866387,500,640.014683
-204.413085,109,641.340197
-147.88121,500,647.157905
-148.726282,500,652.953278
-127.891479,500,658.31287
-144.579084,500,663.736625
-136.156967,500,669.771704
-135.979156,500,676.603991
-134.705957,500,682.782212
-131.993894,500,688.39299
-130.050577,500,694.364167
-127.848324,500,700.16003
-124.543977,500,705.69486
-120.951724,500,711.440787
-137.890383,500,716.98261
-128.40565,500,722.769164
-123.558916,500,728.316731
-104.862348,500,733.705739
-124.341482,500,739.00954
-122.083552,500,744.505099
-125.06629,500,749.909665
-122.878303,500,755.344077
-113.103743,500,761.053792
-140.822157,500,766.562611
-115.458712,500,772.153085
-121.753366,500,777.83847
-113.267928,500,783.513176
-120.547911,500,789.202157
-117.443791,500,794.66766
-139.556032,500,800.412975
-124.588888,500,805.962913
-116.751798,500,811.627624
-136.23896,500,817.170166
-135.613918,500,822.795242
-135.293662,500,828.645631
-140.107022,500,834.424671
-123.143485,500,839.912817
-126.806489,500,845.455945
-130.091231,500,850.796945
-144.002495,500,856.022486
-134.253428,500,861.390284
-129.48716,500,866.949288
-150.210753,500,872.337705
-127.663604,500,877.786922
-134.185173,500,883.643591
-133.862608,500,889.312348
-134.546892,500,895.041817
-141.688848,500,900.521882
-137.308838,500,906.114168
-136.547042,500,911.65183
-150.090506,500,917.283633
-156.527938,500,922.830484
-134.699861,500,928.419165
-164.472711,500,934.204225
-144.932926,500,940.221927
-148.597912,500,946.045025
-143.106054,500,951.676509
-139.4416,500,957.570567
-133.046915,500,963.182787
-135.742538,500,968.600482
-135.837262,500,974.104884
-149.493123,500,979.700583
-144.5537,500,985.338938
-155.897605,500,990.840239
-154.172772,500,996.201788
-161.129159,500,1001.882191
-135.981842,500,1007.501499
-138.844963,500,1013.234798
-148.079766,500,1018.938756
-146.427174,500,1024.6318
-142.468368,500,1030.414041
-158.843272,500,1036.109737
-163.946933,500,1041.712794
-162.10551,500,1047.436681
-149.66022,500,1052.863734
-145.545747,500,1058.672004
-151.221216,500,1064.121336
-161.123728,500,1069.821338
-143.765074,500,1075.663791
-148.911981,500,1081.493708
-143.457014,500,1087.08991
-151.801547,500,1092.533924
-166.010131,500,1097.908343
-167.01555,500,1103.360244
-159.473058,500,1108.939582
-155.616792,500,1114.334435
-156.896398,500,1119.758856
-151.847905,500,1125.263752
