test_id,initial_angle_deg,initial_omega_rad_s,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
36,-6.2105728183142865,-0.2863176773821815,500,5.0,0.18624234199523926,9.02892934391275e-05,6.2105728183142865,0.7813681364059448,3.867197036743164,0.03190040588378906,0.18624219208955764,0.1862427294254303,-4.319738524227704,False,True,True,True
37,-7.401569893290567,0.27513552794486723,500,5.0,0.1862419694662094,9.177070751320571e-05,7.401569893290567,0.7833818793296814,2.2627735137939453,0.03189659118652344,0.18624220862984658,0.1862426996231079,-5.279025844637037,False,True,True,True
38,-0.48590147548132556,-0.01061793783425985,500,5.0,0.1862422376871109,9.050557127920911e-05,0.48590147548132556,0.2602364420890808,0.8920078277587891,0.03190040588378906,0.1862422728538513,0.18624289333820343,-0.15005310591954785,False,True,True,True
39,-5.461813018982317,0.1696411363501717,500,5.0,0.186242014169693,9.067477367352694e-05,5.461813018982317,0.7826407551765442,2.4221324920654297,0.03189659118652344,0.1862421987950802,0.1862426996231079,-3.5646992935277453,False,True,True,True
40,3.396279893650206,-0.25036200004653686,500,5.0,0.18624268472194672,9.114880231209099e-05,3.396279893650206,0.29738810658454895,0.7096824645996094,0.03189659118652344,0.18624231815338135,0.18624290823936462,-0.9686357969131514,False,True,True,True
41,-1.2569616225533853,-0.008005001497103814,500,5.0,0.18624258041381836,9.031125955516472e-05,1.2569616225533853,0.5577366948127747,1.9039192199707031,0.03190040588378906,0.18624224543571472,0.18624266982078552,-0.5030844342721567,False,True,True,True
42,6.653563921156749,-0.00557580338728747,500,5.0,0.18624186515808105,9.021233563544229e-05,6.653563921156749,0.3541411757469177,2.150604248046875,0.03190040588378906,0.1862423239648342,0.18624280393123627,-3.280479627503043,False,True,True,True
43,4.005302040044983,0.2626958729849897,500,5.0,0.186242014169693,9.067153587238863e-05,4.005302040044983,0.30925124883651733,2.3202056884765625,0.03189659118652344,0.1862422740459442,0.1862426996231079,-1.3538116685331942,False,True,True,True
44,-3.7526671723591782,0.04303683142564524,500,5.0,0.18624247610569,9.096613939618692e-05,3.7526671723591782,0.7742230892181396,2.6744155883789062,0.03189659118652344,0.1862422502040863,0.18624280393123627,-2.272873850448852,False,True,True,True
45,6.645196027904021,-0.015906359365827738,500,5.0,0.1862419694662094,9.005096217151731e-05,6.645196027904021,0.353986918926239,2.118795394897461,0.03190040588378906,0.1862422539293766,0.18624278903007507,-3.269259741182031,False,True,True,True
46,6.095287149936038,-0.13981460214486385,500,5.0,0.18624244630336761,9.113164560403675e-05,6.095287149936038,0.3445272445678711,1.6363029479980469,0.03189659118652344,0.18624223724007608,0.1862426996231079,-2.7346446710486245,False,True,True,True
