test_id,initial_angle_deg,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
24,7.862422426443953,500,5.0,0.18624219298362732,9.086515638045967e-05,7.862422426443953,0.3702287971973419,2.435880661010742,0.03190040588378906,0.18624220311641693,0.1862426996231079,-4.587220601115451,False,True,True,True
25,5.567669941475238,500,5.0,0.1862425059080124,9.096457506529987e-05,5.567669941475238,0.3360169529914856,1.9245834350585938,0.03189659118652344,0.18624235719442367,0.18624277412891388,-2.337185337638042,False,True,True,True
26,-6.1072258429606485,500,5.0,0.18624193966388702,9.107957157539204e-05,6.1072258429606485,0.7747840881347656,2.9851226806640625,0.031894683837890625,0.18624231159687044,0.1862429678440094,-4.149875757265593,False,True,True,True
27,-0.6655799254593155,500,5.0,0.1862422376871109,9.089276136364788e-05,0.6655799254593155,0.32973533868789673,1.0979690551757812,0.03189659118652344,0.186242266446352,0.18624280393123627,-0.2083248690332547,False,True,True,True
28,-9.123924684255424,500,5.0,0.1862422227859497,9.004266757983714e-05,9.123924684255424,0.7794318795204163,3.207010269165039,0.03190040588378906,0.18624228984117508,0.18624283373355865,-7.312033596248013,False,True,True,True
29,-6.914210158649043,500,5.0,0.186242014169693,9.058717114385217e-05,6.914210158649043,0.7831036448478699,3.044309616088867,0.03189659118652344,0.1862422852218151,0.1862429529428482,-4.885083245856057,False,True,True,True
30,3.6609790648490925,500,5.0,0.1862424612045288,9.099324233829975e-05,3.6609790648490925,0.3021869361400604,1.4986457824707031,0.03189659118652344,0.18624224469065667,0.1862427145242691,-1.130176416862397,False,True,True,True
31,4.895243118156342,500,5.0,0.18624255061149597,9.114912245422602e-05,4.895243118156342,0.3244926333427429,1.7744331359863281,0.03189659118652344,0.18624226927757262,0.18624283373355865,-1.8506214501217757,False,True,True,True
32,9.350194648684202,500,5.0,0.1862417757511139,9.109086386160925e-05,9.350194648684202,0.41894757747650146,2.815967559814453,0.03189659118652344,0.18624220043420792,0.18624289333820343,-6.573629533694646,False,True,True,True
33,-3.4834928372369607,500,5.0,0.18624277412891388,9.147723176283762e-05,3.4834928372369607,0.7820290923118591,2.7842845916748047,0.03189659118652344,0.18624230787158014,0.18624277412891388,-2.086192624339989,False,True,True,True
34,-2.5908058793026223,500,5.0,0.1862425059080124,9.028419299283996e-05,2.5908058793026223,0.7826449275016785,2.7148971557617188,0.03190040588378906,0.18624231964349747,0.18624275922775269,-1.4449822929540055,False,True,True,True
35,-0.6088837744838411,500,5.0,0.18624210357666016,9.107665391638875e-05,0.6088837744838411,0.30782410502433777,1.0228729248046875,0.03189659118652344,0.1862422975897789,0.1862426996231079,-0.18818312775757026,False,True,True,True
36,-6.2105728183142865,500,5.0,0.18624259531497955,9.069689986063167e-05,6.2105728183142865,0.7840718030929565,2.992704391479492,0.03190040588378906,0.18624225556850432,0.18624287843704224,-4.242381743697916,False,True,True,True
37,-7.401569893290567,500,5.0,0.1862422674894333,9.056563430931419e-05,7.401569893290567,0.7804819941520691,3.0800399780273438,0.03189659118652344,0.18624225199222566,0.1862427145242691,-5.361104229799512,False,True,True,True
38,-0.48590147548132556,500,5.0,0.18624238669872284,9.16219360078685e-05,0.48590147548132556,0.2602747678756714,0.8599166870117188,0.03189659118652344,0.18624224692583083,0.18624277412891388,-0.1493057422624781,False,True,True,True
39,-5.461813018982317,500,5.0,0.18624195456504822,9.0427442046348e-05,5.461813018982317,0.7836938500404358,2.9368019104003906,0.03189659118652344,0.1862423001229763,0.1862429529428482,-3.6071638457712947,False,True,True,True
40,3.396279893650206,500,5.0,0.18624243140220642,9.03979962458834e-05,3.396279893650206,0.29732224345207214,1.4397563934326172,0.03190040588378906,0.18624224066734313,0.1862429678440094,-1.0026089271175371,False,True,True,True
41,-1.2569616225533853,500,5.0,0.18624240159988403,9.098375448957086e-05,1.2569616225533853,0.5578030347824097,1.8798370361328125,0.03189659118652344,0.18624233976006507,0.18624286353588104,-0.5018769557101359,False,True,True,True
42,6.653563921156749,500,5.0,0.18624205887317657,9.034641698235646e-05,6.653563921156749,0.3541669547557831,2.1667633056640625,0.03189659118652344,0.1862422862648964,0.18624289333820343,-3.282147468165005,False,True,True,True
43,4.005302040044983,500,5.0,0.18624213337898254,9.102217882173136e-05,4.005302040044983,0.30851638317108154,1.5755138397216797,0.03189659118652344,0.1862422640621662,0.18624277412891388,-1.3098779225256056,False,True,True,True
44,-3.7526671723591782,500,5.0,0.18624231219291687,9.128319652518257e-05,3.7526671723591782,0.7755337357521057,2.8050689697265625,0.03189659118652344,0.18624220237135888,0.1862426996231079,-2.282941036669419,False,True,True,True
45,6.645196027904021,500,5.0,0.18624237179756165,9.120594768319279e-05,6.645196027904021,0.3540620505809784,2.164897918701172,0.03189659118652344,0.18624219730496405,0.18624289333820343,-3.273996790651585,False,True,True,True
46,6.095287149936038,500,5.0,0.18624244630336761,9.093402331927791e-05,6.095287149936038,0.34505099058151245,2.0423030853271484,0.03189659118652344,0.18624229803681375,0.18624281883239746,-2.7716333390286576,False,True,True,True
47,-2.2504324193965104,500,5.0,0.18624219298362732,9.12525865714997e-05,2.2504324193965104,0.7717528343200684,2.6884307861328125,0.03189659118652344,0.18624223947525023,0.18624268472194672,-1.2041447277464745,False,True,True,True
48,-4.233437921395118,500,5.0,0.18624217808246613,9.107747609959915e-05,4.233437921395118,0.7846766710281372,2.8421382904052734,0.03189659118652344,0.18624228462576867,0.18624277412891388,-2.6435854341098333,False,True,True,True
49,3.6499100794995094,500,5.0,0.18624211847782135,9.102158946916461e-05,3.6499100794995094,0.30198270082473755,1.4961814880371094,0.03189659118652344,0.1862422178685665,0.18624264001846313,-1.1247836430470959,False,True,True,True
50,-7.204950327813804,500,5.0,0.1862422078847885,9.080750896828249e-05,7.204950327813804,0.7747702598571777,3.0656261444091797,0.03189659118652344,0.1862423039972782,0.186242938041687,-5.163934815807813,False,True,True,True
51,-6.001835950497833,500,5.0,0.18624241650104523,9.067718929145485e-05,6.001835950497833,0.778373658657074,2.977388381958008,0.03189659118652344,0.1862422774732113,0.18624283373355865,-4.060384678638889,False,True,True,True
52,-9.85275460497989,500,5.0,0.18624205887317657,9.047747153090313e-05,9.85275460497989,0.7758590579032898,3.2731685638427734,0.03189659118652344,0.18624227598309517,0.1862427294254303,-8.290085152364222,False,True,True,True
53,5.738487550042768,500,5.0,0.18624192476272583,9.022903395816684e-05,5.738487550042768,0.33894383907318115,1.9627056121826172,0.03190040588378906,0.18624216854572295,0.18624266982078552,-2.4726773611650397,False,True,True,True
54,3.2970171318406436,500,5.0,0.1862424612045288,9.166730887955055e-05,3.2970171318406436,0.2954964339733124,1.4176692962646484,0.03189659118652344,0.1862422904372215,0.18624283373355865,-0.9571016551704462,False,True,True,True
55,4.1033075725267025,500,5.0,0.18624207377433777,9.104084892896935e-05,4.1033075725267025,0.31031695008277893,1.5974311828613281,0.03189659118652344,0.18624226242303848,0.18624280393123627,-1.3636895211657245,False,True,True,True
56,5.614580620439359,500,5.0,0.18624214828014374,9.178416803479195e-05,5.614580620439359,0.33682096004486084,1.9350528717041016,0.03189659118652344,0.18624228671193122,0.186242938041687,-2.3739451991162492,False,True,True,True
57,-0.8216844892332009,500,5.0,0.18624231219291687,9.091347601497546e-05,0.8216844892332009,0.3900282382965088,1.30462646484375,0.03189659118652344,0.18624218225479125,0.18624275922775269,-0.27101543468963063,False,True,True,True
58,1.3748239190578744,500,5.0,0.18624256551265717,9.114994463743642e-05,1.3748239190578744,0.2550773620605469,0.940338134765625,0.03189659118652344,0.18624226972460747,0.18624290823936462,-0.2777738099276587,False,True,True,True
59,-7.204060037446851,500,5.0,0.18624179065227509,9.080980817088857e-05,7.204060037446851,0.7748026847839355,3.065563201904297,0.03189659118652344,0.18624219298362732,0.18624278903007507,-5.163050610741398,False,True,True,True
60,-7.709398529280531,500,5.0,0.18624186515808105,9.085354395210743e-05,7.709398529280531,0.7820563912391663,3.102602005004883,0.03189659118652344,0.18624222308397292,0.1862426996231079,-5.676913753410827,False,True,True,True
61,3.368059235809433,500,5.0,0.18624229729175568,9.099430462811142e-05,3.368059235809433,0.29680368304252625,1.4334774017333984,0.03189659118652344,0.18624225452542306,0.1862427145242691,-0.9893076728922428,False,True,True,True
62,-0.5780758771373495,500,5.0,0.18624180555343628,9.07176872715354e-05,0.5780758771373495,0.29591479897499084,0.9820575714111328,0.03189659118652344,0.1862422575056553,0.18624266982078552,-0.17782525873521385,False,True,True,True
63,1.3047221296237765,500,5.0,0.18624180555343628,9.082160249818116e-05,1.3047221296237765,0.25306975841522217,0.9229068756103516,0.03189659118652344,0.18624222695827483,0.18624289333820343,-0.26008308281829834,False,True,True,True
64,5.299977148320512,500,5.0,0.18624252080917358,9.028961358126253e-05,5.299977148320512,0.33143115043640137,1.8648262023925781,0.03190040588378906,0.1862422153353691,0.1862427443265915,-2.1352910593778445,False,True,True,True
65,2.694366400011816,500,5.0,0.18624204397201538,9.020532888825983e-05,2.694366400011816,0.2842443883419037,1.2682609558105469,0.03190040588378906,0.1862422551214695,0.18624283373355865,-0.7043487051902602,False,True,True,True
66,1.071588013159916,500,5.0,0.18624232709407806,9.14220217964612e-05,1.071588013159916,0.2463923841714859,0.8649311065673828,0.03189659118652344,0.18624225050210952,0.1862426996231079,-0.20020094558995766,False,True,True,True
67,1.1841432149082713,500,5.0,0.18624208867549896,9.067580685950816e-05,1.1841432149082713,0.2496156394481659,0.8929214477539062,0.03189659118652344,0.1862422700226307,0.1862427443265915,-0.228596369091169,False,True,True,True
